neighborhood,sqft_living,sqft_lot,bedrooms,bathrooms,floors,has_basement,basement_sqft,garage_cars,has_pool,year_built,house_age_years,renovated,condition_score,quality_grade,school_rating,crime_rate_per_1000,dist_city_center_km,dist_school_km,dist_hospital_km,property_tax_rate_pct,hoa_monthly_usd,market_trend,price_usd
Suburbs,941,5665,2,1,1.0,0,0,2,1,1953,71,0,5,4,4.4,5.55,13.12,5.35,9.25,1.142,0,Rising,433100
Rural,2587,6520,4,3,2.0,0,0,2,0,2014,10,0,9,2,3.1,5.41,45.04,15.0,27.93,1.075,0,Stable,545800
Suburbs,4659,11418,7,4,1.0,1,1444,2,0,1962,62,0,6,4,4.1,4.32,11.54,5.96,8.09,1.105,0,Stable,987500
Waterfront,3709,11529,7,5,2.0,0,0,0,0,2016,8,0,10,5,6.7,2.28,13.42,7.0,9.16,1.22,304,Stable,861400
Downtown,4682,7656,8,5,2.0,0,0,3,0,1961,63,0,6,5,5.7,2.91,0.61,1.04,1.94,1.259,488,Rising,1164300
Downtown,3398,9938,6,4,1.0,1,340,0,1,2004,20,0,9,4,6.6,2.3,1.75,0.87,1.54,1.087,435,Rising,965700
Rural,3840,9713,7,4,1.5,1,833,1,0,2010,14,0,9,3,4.0,4.77,24.36,10.85,19.09,1.1,0,Rising,935200
Suburbs,2588,5912,3,2,2.0,0,0,2,0,1990,34,0,9,4,3.8,4.24,11.22,4.73,11.16,1.027,0,Stable,598700
Rural,4014,4693,8,5,3.0,0,0,2,0,1985,39,0,7,2,4.1,5.31,29.94,12.01,21.04,1.113,0,Stable,616900
Suburbs,2449,6163,5,3,1.0,1,956,0,0,1951,73,1,6,3,5.3,4.87,16.85,8.3,10.42,1.123,0,Rising,715600
Suburbs,905,2458,1,1,2.0,0,0,3,0,1971,53,1,8,3,4.6,4.13,18.21,8.09,14.95,1.356,0,Rising,420600
Waterfront,4213,7735,8,5,1.0,0,0,3,1,1971,53,0,6,5,6.6,0.5,12.12,5.9,7.58,1.348,401,Rising,1030700
Waterfront,3349,7427,6,4,2.5,1,1108,2,1,1990,34,0,8,4,5.6,4.16,8.61,4.77,5.7,1.349,171,Stable,844100
Rural,1735,2824,3,2,1.0,1,778,2,0,1963,61,0,7,2,4.0,6.77,57.34,15.0,30.0,1.039,0,Stable,376300
Suburbs,805,4859,2,2,2.0,0,0,2,1,1984,40,0,8,3,4.7,3.62,12.07,4.93,9.4,1.251,106,Declining,362400
Rural,4050,5174,6,4,1.0,0,0,1,0,1999,25,1,7,3,3.6,5.85,53.09,15.0,30.0,1.101,0,Stable,698100
Suburbs,4411,6781,8,5,2.0,1,352,2,1,1958,66,1,8,4,4.2,2.69,11.67,5.06,7.83,0.956,106,Rising,932200
Downtown,4222,6324,6,3,2.5,1,1333,3,1,2008,16,1,9,5,5.9,2.84,2.34,2.89,1.96,1.138,399,Rising,1179900
Industrial,4199,9905,8,4,2.0,0,0,3,0,2005,19,1,10,3,3.0,7.9,12.09,6.32,11.55,0.882,0,Rising,1032500
Downtown,3151,8809,5,3,2.0,0,0,3,0,1959,65,0,6,4,5.9,5.01,2.38,1.86,3.24,1.147,307,Rising,781200
Industrial,4908,9981,8,5,2.0,1,1053,1,0,1974,50,1,8,3,2.7,6.98,9.0,3.73,6.49,0.949,0,Stable,840600
Suburbs,909,3504,1,1,3.0,0,0,1,0,1994,30,1,9,3,4.1,4.23,5.02,2.24,5.45,1.202,0,Rising,428100
Suburbs,3308,3536,6,2,2.0,1,457,1,0,1960,64,0,6,4,4.9,5.6,13.69,7.1,8.4,1.267,106,Stable,699300
Suburbs,2591,9909,4,2,3.0,1,318,2,1,1958,66,0,6,3,4.1,2.78,17.97,9.08,13.78,1.211,106,Stable,689000
Industrial,871,1105,1,1,2.0,0,0,1,1,1956,68,0,4,2,2.3,7.26,21.95,8.84,14.41,1.099,0,Rising,271100
Rural,4242,8031,7,4,2.0,1,1020,2,0,2020,4,0,10,2,2.7,5.34,27.4,12.78,19.43,0.919,106,Rising,966300
Waterfront,4686,10401,8,4,1.0,0,0,2,1,1983,41,1,10,5,5.9,2.66,9.68,4.63,8.88,1.2,159,Stable,906200
Rural,2422,5292,5,3,2.0,0,0,2,1,1969,55,1,7,1,1.8,7.37,25.44,10.6,19.31,0.999,0,Declining,445800
Rural,3873,7438,6,3,1.0,1,1318,2,0,1954,70,1,6,1,3.0,4.27,50.96,15.0,30.0,0.958,0,Rising,816700
Waterfront,4949,5737,7,4,2.5,1,1107,2,0,2004,20,0,7,4,5.9,3.83,7.64,4.6,6.9,1.138,597,Stable,1006200
Suburbs,1120,8836,1,1,2.0,0,0,0,0,1964,60,1,7,4,3.6,4.6,13.72,6.43,13.04,1.189,0,Stable,461900
Suburbs,1576,4994,2,1,3.0,1,584,0,0,1997,27,0,8,4,4.9,4.33,8.39,5.02,8.67,1.08,0,Stable,470200
Suburbs,4322,7660,6,4,1.0,1,810,2,0,1953,71,0,5,4,5.2,5.78,5.62,2.7,8.25,1.231,106,Stable,936700
Industrial,4151,5254,8,5,1.0,0,0,2,0,1970,54,1,9,2,2.6,6.13,15.7,7.64,14.06,0.853,0,Declining,666700
Industrial,4705,11568,8,5,2.5,1,419,2,1,1958,66,1,7,2,2.9,5.48,17.02,7.04,13.27,1.061,0,Rising,1009900
Downtown,3373,7659,7,5,1.5,1,396,0,1,2015,9,0,10,4,5.3,1.69,2.65,1.24,2.91,1.246,100,Rising,860500
Rural,3152,5521,4,3,2.0,0,0,1,0,1984,40,0,8,3,2.9,6.89,43.78,15.0,30.0,1.047,0,Stable,594300
Industrial,3432,3971,6,3,2.5,0,0,2,1,2000,24,1,9,1,2.4,6.49,19.35,9.36,15.1,0.999,0,Stable,715400
Suburbs,4507,8977,6,3,2.0,1,692,3,0,1986,38,1,8,4,4.8,3.12,6.36,3.86,6.76,1.142,0,Rising,1064800
Rural,752,6971,1,1,1.0,0,0,3,1,1955,69,0,5,2,1.4,5.08,38.84,15.0,26.79,1.019,0,Stable,308500
Industrial,3564,5478,6,3,3.0,0,0,2,0,2000,24,1,10,3,1.7,7.29,24.89,10.73,18.0,0.948,106,Rising,700100
Downtown,3516,8408,6,3,1.0,0,0,2,0,2015,9,0,9,4,6.4,2.88,1.44,2.1,3.46,1.255,452,Declining,771400
Rural,3400,8146,6,3,3.0,1,1138,2,1,1966,58,0,7,2,2.5,4.55,40.52,15.0,26.39,1.08,0,Stable,770700
Suburbs,2352,3108,5,4,1.0,1,459,2,0,2014,10,0,10,3,4.5,2.5,18.31,9.17,11.21,1.105,0,Rising,614900
Industrial,3210,8665,6,3,2.0,1,1399,2,0,1958,66,0,6,3,2.3,6.45,15.84,8.17,13.83,1.114,0,Stable,699200
Industrial,4475,7762,7,4,1.0,1,910,3,0,1962,62,0,5,2,1.4,8.19,24.62,10.95,19.1,0.938,0,Stable,826900
Industrial,1704,7356,3,2,2.0,1,938,2,0,2007,17,1,10,2,3.4,6.57,22.45,10.24,16.44,0.905,0,Rising,585300
Suburbs,3136,6602,6,4,1.0,0,0,3,1,1979,45,1,6,4,4.6,2.39,12.38,6.26,8.77,1.135,0,Declining,751700
Industrial,4799,8566,8,5,2.5,1,1076,1,0,1980,44,0,7,1,1.7,6.98,14.51,6.32,8.85,0.898,0,Rising,885600
Waterfront,4454,6710,7,4,2.0,0,0,2,1,1972,52,1,9,5,6.5,2.55,10.18,4.8,6.12,1.297,118,Stable,1001500
Suburbs,4094,8193,7,4,1.0,1,1191,2,0,2012,12,0,9,3,4.5,2.38,19.4,8.03,12.0,1.136,0,Stable,817400
Waterfront,2514,9191,4,2,2.0,0,0,1,0,1977,47,1,9,5,6.0,1.04,5.12,3.9,4.87,1.323,297,Stable,677600
Downtown,3672,11372,5,3,2.0,1,651,2,0,2008,16,1,9,5,6.7,3.81,2.94,2.62,2.71,1.219,410,Rising,993000
Rural,1606,2822,3,2,1.0,0,0,1,0,1959,65,0,5,2,2.6,4.77,33.1,13.33,21.19,1.016,106,Stable,352200
Suburbs,1006,7676,2,2,1.0,0,0,2,0,1975,49,0,7,4,5.5,5.11,16.75,7.8,13.55,1.109,0,Rising,464800
Downtown,766,3028,1,1,1.5,0,0,2,0,1966,58,0,6,5,5.4,1.06,0.97,1.07,5.38,1.308,110,Stable,397200
Downtown,1108,2146,2,1,1.0,0,0,1,0,1989,35,0,7,4,5.7,1.11,1.62,2.28,2.01,1.201,243,Rising,470600
Rural,2261,4098,4,2,1.0,0,0,2,0,2017,7,0,9,1,3.2,6.28,33.28,14.0,22.3,1.051,0,Stable,480200
Suburbs,4264,8785,7,5,1.0,1,1127,2,0,1972,52,0,6,3,4.4,3.26,14.54,7.1,13.68,1.255,0,Stable,924600
Rural,4089,7785,8,4,2.0,0,0,2,0,1984,40,0,7,2,2.3,5.61,58.72,15.0,30.0,1.016,0,Rising,729300
Downtown,1280,3293,3,2,2.0,0,0,2,0,1958,66,1,7,5,6.0,3.1,2.53,2.13,3.28,1.215,126,Rising,502100
Suburbs,3124,6803,5,3,1.0,1,911,3,0,1994,30,0,7,3,5.5,3.49,11.09,5.02,8.25,1.127,0,Rising,799100
Suburbs,2720,9176,4,2,3.0,1,300,2,0,1986,38,0,10,6,5.1,3.03,14.3,6.05,9.79,1.169,0,Declining,634500
Waterfront,4957,11273,8,5,3.0,1,610,2,0,2018,6,0,10,5,6.4,3.09,5.62,3.49,4.15,1.331,358,Stable,1161400
Suburbs,1963,3614,3,1,1.0,1,467,0,0,1968,56,1,10,4,4.3,4.38,7.21,4.16,6.63,1.228,0,Declining,549700
Rural,1931,8275,3,1,1.0,0,0,3,0,2022,2,0,9,1,3.5,6.3,20.59,10.2,14.06,1.074,0,Rising,535700
Industrial,2892,5405,2,1,3.0,0,0,1,0,1976,48,1,6,1,2.6,7.06,16.69,8.01,13.74,1.096,0,Rising,498000
Rural,2138,3852,5,3,2.0,1,1357,2,0,1962,62,0,6,1,3.6,5.29,22.98,10.22,14.97,1.033,106,Declining,467700
Suburbs,4008,5439,7,4,1.0,0,0,2,1,2006,18,0,9,4,4.7,2.95,6.58,4.46,7.63,1.29,0,Stable,851000
Downtown,1160,3005,2,1,2.0,0,0,1,0,2009,15,0,9,5,6.1,2.5,1.68,2.33,2.45,1.33,332,Stable,424200
Industrial,1699,7730,3,3,2.0,0,0,2,0,1961,63,0,5,2,2.0,6.14,13.02,6.31,10.78,0.91,0,Declining,378700
Downtown,2503,5702,4,2,1.0,1,1157,1,0,1958,66,0,4,4,6.2,2.9,2.76,2.13,4.85,1.304,449,Declining,640600
Industrial,774,4414,1,1,2.0,0,0,2,0,1976,48,0,6,2,1.5,6.61,16.12,8.33,13.03,0.789,0,Rising,294400
Suburbs,2756,7012,4,2,2.0,1,413,2,1,2012,12,0,9,4,4.4,4.19,6.96,4.02,5.05,1.27,0,Rising,869500
Industrial,2830,3335,3,2,2.0,1,1096,3,0,1978,46,1,7,1,1.8,6.97,14.16,7.09,9.91,0.968,0,Rising,586800
Waterfront,4887,11242,7,4,2.5,0,0,3,0,1971,53,0,6,4,8.5,4.62,6.79,2.89,5.3,1.172,420,Stable,1022100
Industrial,4760,12472,7,4,1.0,0,0,2,0,2022,2,0,9,2,2.8,5.42,16.43,8.01,12.74,0.8,0,Rising,934200
Suburbs,4520,8256,8,5,2.0,0,0,2,0,1968,56,1,10,3,3.9,3.94,15.02,6.54,9.39,1.136,0,Stable,868400
Waterfront,2097,4020,4,2,1.5,1,608,2,0,1987,37,0,8,5,5.0,1.17,9.12,3.88,8.06,1.372,573,Declining,588700
Suburbs,4454,6343,7,5,1.5,0,0,2,0,1988,36,0,8,2,3.4,3.59,15.7,7.98,9.86,1.174,0,Stable,840300
Suburbs,3771,5488,4,2,1.0,0,0,2,0,1964,60,1,8,4,3.9,3.19,12.12,6.23,8.96,1.11,0,Rising,852100
Rural,2167,7854,4,2,1.5,1,616,3,0,2003,21,1,8,2,2.4,7.02,31.96,13.6,22.61,1.006,0,Rising,641800
Industrial,1751,5868,3,2,1.0,1,484,2,1,1981,43,0,8,1,1.7,5.31,23.09,10.1,15.92,1.108,0,Rising,474400
Industrial,968,8248,1,1,1.0,0,0,1,1,1995,29,0,9,2,2.0,8.02,20.97,8.78,13.98,1.045,0,Stable,311600
Waterfront,642,1261,2,1,1.0,0,0,2,0,2010,14,0,10,4,6.6,3.14,6.15,2.48,6.77,1.246,142,Rising,399900
Suburbs,2507,5643,4,2,2.0,1,819,2,0,2001,23,1,9,4,4.5,6.63,11.13,5.15,10.38,1.243,106,Rising,831800
Suburbs,4090,8152,6,3,1.0,1,576,0,0,1983,41,1,8,4,5.2,6.33,16.45,6.88,11.14,1.229,106,Stable,893600
Rural,3135,9649,4,2,2.0,0,0,2,0,2022,2,0,10,3,2.3,5.29,30.22,12.93,19.63,0.936,0,Declining,619100
Suburbs,4773,9202,8,5,1.0,1,501,2,1,1984,40,1,8,4,4.4,5.65,9.5,5.47,8.9,1.115,0,Declining,920800
Downtown,3473,9799,5,4,1.0,0,0,2,0,2019,5,0,8,5,5.0,2.53,1.61,0.87,5.79,1.367,524,Rising,993500
Suburbs,2424,9732,4,2,1.0,0,0,2,0,1986,38,0,8,4,5.0,4.53,18.22,7.47,12.0,1.218,106,Stable,608000
Suburbs,1893,3543,4,3,1.0,1,777,2,1,2010,14,0,9,3,4.5,6.23,11.5,6.4,10.17,1.327,0,Stable,510100
Suburbs,3986,7282,6,4,2.0,0,0,3,1,1998,26,0,10,4,5.9,3.26,10.62,5.74,10.9,1.21,0,Stable,903900
Suburbs,3572,9421,6,3,1.5,1,1398,3,0,1958,66,0,5,3,4.2,4.23,14.19,5.78,10.82,1.079,0,Stable,752200
Downtown,4522,7983,8,5,3.0,1,968,2,0,1968,56,1,8,4,4.9,0.58,2.44,1.14,3.05,1.223,223,Declining,974000
Downtown,1592,2956,3,1,3.0,1,964,0,0,1977,47,0,7,4,5.9,3.98,2.76,2.47,4.99,1.304,212,Rising,638100
Industrial,2986,10908,6,4,1.5,0,0,3,0,1975,49,0,6,1,2.2,9.61,11.69,5.42,7.17,0.974,0,Stable,535200
Suburbs,2840,4909,5,2,2.0,0,0,2,1,1987,37,1,10,3,5.0,4.85,10.96,5.83,8.38,1.156,0,Stable,650500
Suburbs,2076,4095,4,2,1.0,1,760,1,0,1989,35,1,9,3,4.6,5.81,7.62,3.86,5.86,1.354,0,Rising,663600
Rural,4007,6912,7,4,2.0,0,0,1,0,1974,50,1,10,3,2.9,7.62,20.36,10.08,13.34,1.001,106,Rising,789500
Suburbs,989,8671,1,1,2.0,0,0,1,0,2018,6,0,10,5,4.2,3.32,14.56,7.21,9.63,1.182,106,Rising,495000
Industrial,1599,5314,4,2,1.0,0,0,1,1,2020,4,0,10,2,2.1,7.47,14.29,5.81,12.26,1.001,0,Declining,400000
Waterfront,2455,3997,5,3,1.0,0,0,0,1,1972,52,0,6,4,4.9,3.09,4.61,2.51,7.54,1.341,449,Declining,610900
Downtown,1258,7018,3,2,1.0,0,0,3,1,2014,10,0,9,3,6.5,1.52,1.26,1.63,2.68,1.251,238,Stable,530400
Suburbs,3363,10822,6,3,1.5,1,699,2,0,1971,53,1,9,4,5.6,5.9,7.62,3.33,4.82,1.163,0,Stable,679800
Industrial,4263,6689,7,4,2.0,1,967,2,1,2013,11,0,9,2,3.0,6.48,17.18,6.88,13.9,1.177,0,Rising,941700
Industrial,2081,3360,5,3,1.5,0,0,2,0,2017,7,0,10,1,2.0,6.82,24.37,9.91,17.31,0.965,0,Stable,393700
Suburbs,4331,9805,7,5,1.5,1,875,2,0,2007,17,0,8,3,4.2,3.85,14.36,6.79,12.23,1.223,106,Rising,1067900
Rural,1051,7042,1,1,2.0,0,0,3,0,1977,47,1,10,3,3.3,6.29,30.09,13.3,21.29,0.896,106,Stable,378200
Suburbs,3075,7481,5,3,2.0,0,0,3,1,2017,7,0,9,3,4.0,7.68,8.22,3.47,9.46,1.15,0,Declining,668300
Industrial,3822,10302,6,4,1.0,1,1467,2,1,1953,71,0,5,1,3.1,6.36,24.78,11.24,15.57,0.965,0,Stable,816600
Suburbs,2137,8712,2,1,2.0,1,1343,3,0,1950,74,0,5,4,3.0,2.31,15.53,7.45,10.16,1.143,0,Stable,542900
Industrial,3693,11028,5,2,2.0,0,0,2,0,1975,49,0,8,1,2.0,7.28,17.41,8.84,12.15,0.803,0,Rising,721400
Rural,1482,6245,3,1,2.0,0,0,0,1,1982,42,1,8,3,2.3,5.21,23.51,11.09,16.56,0.99,0,Rising,461400
Rural,4668,7647,8,5,2.0,1,463,2,0,1976,48,0,5,4,3.9,5.76,43.78,15.0,30.0,0.938,0,Stable,853100
Suburbs,3166,5894,5,3,2.0,1,905,2,1,1991,33,1,8,4,5.4,4.91,13.63,7.38,12.71,1.259,0,Rising,830300
Suburbs,3877,11312,7,4,1.0,1,1391,3,0,2018,6,0,9,3,5.1,2.86,17.86,8.03,15.08,1.063,0,Rising,969900
Suburbs,974,1987,1,1,2.0,0,0,2,0,2020,4,0,9,4,6.0,3.73,18.38,8.33,12.14,1.213,0,Rising,474300
Suburbs,4297,9865,6,4,3.0,1,1344,2,0,2013,11,0,9,4,4.7,4.52,17.48,7.56,14.14,1.218,0,Stable,1031200
Suburbs,3662,8951,7,4,2.0,0,0,0,0,1974,50,1,5,3,5.1,3.23,5.65,3.28,5.31,1.09,0,Rising,799500
Waterfront,3850,6081,6,3,1.0,1,896,1,0,2021,3,0,10,4,4.9,2.45,4.8,2.22,7.54,1.165,599,Stable,966500
Suburbs,712,1234,1,1,1.0,0,0,0,0,1953,71,1,8,3,4.4,4.52,18.49,8.74,12.17,1.122,0,Stable,307900
Downtown,3797,6966,7,4,3.0,0,0,2,0,1961,63,1,10,4,5.7,2.78,1.78,0.76,1.77,1.185,331,Rising,981900
Industrial,2978,4081,4,3,1.0,1,1248,2,0,2007,17,1,8,1,1.7,7.27,13.03,5.68,12.03,0.877,0,Rising,703500
Industrial,2524,4265,4,2,1.0,1,1162,1,1,1960,64,0,5,1,2.5,7.51,14.13,6.07,12.06,0.945,0,Stable,488100
Industrial,739,7034,1,1,1.5,0,0,2,0,2008,16,1,10,1,1.0,6.28,12.15,6.74,11.4,1.006,106,Stable,336300
Industrial,2024,8135,4,2,3.0,0,0,1,0,1985,39,0,8,1,2.7,5.32,24.02,9.9,15.2,0.856,106,Rising,523600
Suburbs,3549,7252,5,3,1.0,1,759,1,1,1971,53,0,8,4,4.4,2.92,18.29,9.1,15.4,1.13,0,Rising,869200
Suburbs,3768,11622,8,5,1.5,1,1401,2,0,2014,10,0,10,1,4.1,2.73,18.0,7.45,14.19,1.097,106,Rising,991000
Waterfront,1116,3969,2,1,2.0,0,0,0,0,1999,25,0,9,4,6.5,3.98,11.83,6.03,10.36,1.259,279,Rising,476500
Rural,3216,5892,4,3,1.0,1,1187,2,0,1953,71,1,5,3,4.0,4.17,32.01,13.44,22.12,1.213,0,Stable,644900
Suburbs,1487,5027,1,1,3.0,0,0,0,1,2021,3,0,10,3,5.3,4.92,11.16,5.1,10.52,0.998,0,Rising,549000
Waterfront,3704,11608,6,3,2.0,0,0,1,1,2001,23,0,8,5,5.4,1.68,7.97,5.18,6.86,1.239,445,Stable,839500
Suburbs,649,5092,1,1,2.0,0,0,2,0,1992,32,1,9,3,5.1,5.41,11.25,4.95,7.41,1.178,0,Rising,413700
Suburbs,4551,5892,7,5,2.5,0,0,2,1,1995,29,1,8,3,4.5,3.66,5.63,2.66,6.07,1.099,0,Rising,1019700
Suburbs,4160,5209,7,4,3.0,0,0,0,0,1953,71,0,5,4,5.5,4.2,15.8,7.5,13.22,1.187,0,Rising,875100
Rural,618,1184,2,2,1.5,0,0,2,0,1962,62,0,7,2,3.2,6.87,41.47,15.0,25.65,0.879,106,Rising,240300
Rural,2073,5170,4,3,1.0,1,528,2,1,1987,37,0,7,2,2.0,7.76,51.62,15.0,30.0,0.99,0,Declining,442100
Downtown,4661,5950,7,4,2.5,1,1484,2,0,1994,30,1,9,5,5.5,2.23,1.56,2.03,4.42,0.958,471,Rising,1205500
Industrial,3206,7447,5,3,1.5,0,0,1,1,1974,50,1,10,1,1.8,6.34,10.79,5.44,7.82,0.951,0,Declining,517800
Suburbs,1051,3289,1,1,3.0,0,0,2,0,2016,8,0,9,3,4.1,4.78,8.78,4.33,6.12,1.027,0,Declining,392600
Downtown,4365,7425,6,4,3.0,1,448,2,0,2004,20,1,9,4,5.4,1.01,2.08,2.02,5.69,1.256,232,Stable,986200
Industrial,3038,10775,4,3,1.0,1,1151,0,1,1988,36,0,8,2,2.5,5.02,8.7,4.68,6.02,1.116,0,Stable,706200
Industrial,4910,9380,8,5,3.0,0,0,3,0,2014,10,0,9,1,3.0,7.52,19.13,8.09,13.2,1.003,106,Declining,795500
Industrial,2149,4203,4,2,1.5,1,410,3,1,1951,73,0,5,2,2.0,7.89,20.62,9.59,14.51,0.968,0,Rising,544100
Waterfront,4074,8957,7,4,2.0,1,363,3,1,2018,6,0,8,5,6.8,2.9,5.35,2.55,5.59,1.198,371,Rising,1080200
Rural,727,1421,1,1,1.0,0,0,2,1,2011,13,0,10,3,1.8,6.13,56.05,15.0,30.0,0.997,0,Rising,253800
Rural,3361,10677,5,2,3.0,0,0,2,0,1995,29,0,8,2,2.4,5.6,45.08,15.0,30.0,0.999,0,Stable,624000
Downtown,2015,7448,3,2,2.0,0,0,2,0,1980,44,0,7,5,7.1,4.82,1.24,1.12,4.04,1.227,552,Rising,704500
Suburbs,801,4183,1,1,2.0,0,0,2,1,1984,40,0,8,4,3.9,6.23,9.34,4.96,7.4,1.198,0,Declining,358600
Suburbs,2969,4953,5,3,3.0,0,0,2,0,1994,30,0,8,4,5.5,4.3,15.18,6.2,10.9,1.073,0,Rising,738200
Suburbs,1117,4827,1,1,2.0,0,0,2,0,2003,21,0,10,4,4.6,3.35,12.63,5.08,10.09,1.265,0,Declining,398000
Rural,1941,5927,4,3,1.5,1,962,1,1,2020,4,0,9,1,3.0,5.04,38.54,15.0,23.29,1.004,106,Rising,594600
Suburbs,2588,8054,4,2,2.5,0,0,2,0,2018,6,0,9,4,5.3,4.68,12.77,5.45,12.3,1.151,0,Stable,682500
Downtown,4145,8475,6,3,2.0,1,1344,3,1,1978,46,0,6,4,6.2,1.44,2.01,1.2,2.32,1.354,552,Stable,911100
Suburbs,4402,5600,8,5,3.0,0,0,0,0,2021,3,0,10,3,5.6,2.72,10.21,5.63,9.61,0.937,0,Rising,891000
Rural,3875,9503,7,4,3.0,0,0,2,0,1957,67,1,8,2,2.8,5.67,47.32,15.0,30.0,0.77,0,Declining,680100
Downtown,4254,11135,8,5,1.5,1,1270,3,0,2003,21,0,8,5,5.8,3.53,1.11,1.38,4.8,1.264,232,Rising,1068600
Industrial,3034,10127,5,3,1.5,1,1263,2,0,1956,68,0,5,2,2.2,8.85,13.6,6.73,8.99,0.976,0,Rising,595300
Suburbs,807,6140,2,1,1.0,0,0,3,0,1972,52,1,9,4,3.9,4.47,5.78,3.77,6.15,1.299,0,Declining,366000
Suburbs,3233,7902,5,3,2.0,1,628,2,0,1981,43,0,8,4,4.8,4.76,12.27,4.92,7.78,1.037,106,Rising,800800
Rural,4717,11617,8,4,1.5,0,0,0,1,2011,13,0,9,3,2.9,7.43,33.34,15.0,24.03,1.074,0,Rising,907500
Waterfront,753,2404,1,1,2.0,0,0,2,0,1994,30,0,8,5,4.7,3.57,6.38,4.53,6.26,1.214,495,Rising,457000
Suburbs,3966,5917,7,5,1.0,1,524,1,0,2017,7,0,8,4,5.4,3.5,18.12,7.49,11.66,1.245,0,Stable,704300
Rural,4914,7394,8,4,1.0,0,0,2,0,1979,45,0,6,2,3.1,7.3,46.6,15.0,30.0,0.806,0,Stable,754700
Rural,2118,7118,5,3,1.0,1,659,1,0,1988,36,0,7,2,2.5,7.49,55.72,15.0,30.0,0.999,0,Stable,483200
Suburbs,3200,8058,6,4,1.0,1,839,1,0,1954,70,0,5,2,4.9,4.54,9.26,3.8,6.13,1.223,0,Stable,681700
Industrial,2795,10077,5,3,2.0,1,1110,2,0,2016,8,0,10,1,2.0,7.25,24.04,10.19,16.73,0.896,0,Rising,639100
Waterfront,4154,7288,7,4,1.0,1,908,2,0,1971,53,0,5,5,6.1,3.22,13.24,6.99,9.12,1.245,146,Rising,940200
Rural,3014,10083,5,3,1.0,0,0,2,0,1977,47,0,7,2,4.0,6.84,38.51,15.0,27.86,1.03,106,Stable,614600
Industrial,3449,7383,6,4,1.0,0,0,2,0,1971,53,0,7,2,2.6,4.85,17.54,7.91,12.33,1.009,0,Stable,629400
Industrial,2342,10149,4,2,2.0,1,977,1,0,1978,46,0,7,2,2.0,7.6,17.42,7.85,13.31,0.866,0,Rising,562800
Rural,1906,9775,3,2,2.5,1,590,1,0,1992,32,0,9,3,2.3,7.66,38.51,15.0,27.85,0.977,106,Rising,547600
Waterfront,4449,7995,8,5,1.0,1,503,2,0,1991,33,0,7,3,5.5,3.69,13.4,5.98,10.01,1.299,411,Declining,894700
Rural,4768,6841,7,4,2.0,0,0,2,0,2009,15,0,9,2,3.6,6.7,50.91,15.0,30.0,1.099,0,Declining,686200
Rural,4795,11214,8,4,1.5,1,781,3,0,2020,4,0,10,2,3.0,6.43,22.42,10.1,14.26,1.042,106,Stable,947400
Rural,3155,7889,6,3,1.0,0,0,0,0,2023,1,0,10,2,3.4,5.77,48.22,15.0,30.0,0.991,0,Rising,583100
Waterfront,2905,6908,6,4,2.0,0,0,3,0,2017,7,0,10,5,5.8,2.36,12.4,5.89,11.44,1.259,286,Stable,837600
Suburbs,1688,7867,2,1,1.0,1,577,2,1,2008,16,0,9,3,4.0,5.04,19.66,9.74,12.9,1.234,0,Rising,640200
Industrial,3242,5421,5,3,2.0,1,1304,2,1,1955,69,1,5,2,2.8,7.54,11.47,6.04,8.55,0.995,0,Stable,683900
Industrial,1777,2675,3,1,1.0,0,0,0,0,2022,2,0,8,1,1.8,8.17,24.32,10.02,19.17,0.857,106,Stable,358100
Downtown,3594,5106,7,5,3.0,1,655,2,1,1977,47,0,6,4,5.4,2.29,1.27,1.38,3.45,1.113,270,Stable,824300
Waterfront,1159,4321,2,1,1.0,0,0,1,0,1980,44,1,9,4,5.1,3.8,13.2,5.86,10.7,1.254,574,Rising,485500
Downtown,3564,9423,5,3,2.0,0,0,1,0,1988,36,0,7,4,5.0,2.17,2.99,3.17,5.03,1.059,180,Stable,767900
Suburbs,1871,5009,3,2,3.0,1,898,2,0,1999,25,1,9,2,5.3,4.41,8.37,4.18,8.83,1.229,0,Stable,599600
Rural,2413,7400,6,4,1.0,0,0,2,0,1986,38,0,8,3,3.7,5.58,50.49,15.0,30.0,0.932,0,Stable,520500
Suburbs,3515,6015,6,4,2.0,1,1227,2,0,2021,3,0,10,4,5.4,4.05,15.1,6.86,13.07,1.034,106,Stable,846300
Waterfront,1209,4606,3,2,1.5,0,0,2,0,1964,60,0,6,6,6.8,4.94,10.73,4.93,11.11,1.419,103,Rising,515800
Waterfront,3061,8557,6,4,2.0,1,1158,2,1,2000,24,0,9,5,5.8,3.11,9.75,5.1,9.95,1.199,586,Stable,880400
Suburbs,4720,12124,8,5,1.0,1,513,2,0,2019,5,0,9,3,5.1,4.44,6.38,3.0,4.06,1.178,0,Stable,1084500
Downtown,883,7636,2,1,1.0,0,0,3,0,1972,52,0,7,4,6.4,4.61,2.39,1.03,2.02,1.285,485,Rising,419900
Suburbs,3528,9458,6,3,2.0,1,1264,2,0,1974,50,0,6,3,4.1,1.09,9.38,3.94,10.05,1.295,0,Stable,940300
Rural,4996,10925,8,5,1.5,1,1438,1,1,1995,29,1,9,4,3.1,6.06,24.49,10.36,14.83,0.966,0,Stable,1003800
